numPeople, numberDead, evacTime
10,0,7.90001
10,0,10.85
10,0,8.45001
10,0,9.10002
10,0,9.35002
10,0,9.70002
10,0,8.95002
10,0,8.60001
10,0,8.30001
10,0,8.45001
20,0,9.60002
20,0,10.55
20,0,10.15
20,0,11.15
20,0,14.85
20,0,9.85002
20,0,13.4
20,0,12.9
20,0,11.65
20,0,9.85002
30,0,14.2
30,0,12.9
30,0,13.15
30,0,14.4
30,0,14.85
30,0,13.85
30,0,13.55
30,0,12.1
30,0,14.05
30,0,13.1
40,0,14.85
40,0,13.8
40,0,15.55
40,0,13.6
40,0,15.25
40,0,14.7
40,1,14.35
40,0,13.5
40,1,15.2
40,0,15.4
50,1,15.95
50,3,14.85
50,0,16.15
50,2,14.3
50,1,15.2
50,0,15.5
50,0,15.6
50,0,16.1
50,0,15.9
50,0,14.5
60,2,16.2
60,1,15.95
60,3,15.5
60,2,15.9
60,4,15.9
60,2,15.35
60,7,18.8
60,2,16
60,2,15.65
60,2,15.95
70,2,15.5
70,3,16.45
70,2,16.2
70,10,17.3
70,5,16.55
70,3,16.35
70,4,15.5
70,4,15.85
70,4,16.35
70,7,16.8
80,6,16.55
80,8,18.55
80,10,16.15
80,9,16.65
80,10,18.1
80,13,16.45
80,10,19.15
80,7,15.75
80,10,19
80,13,16.6
90,13,17.9
90,18,17.95
90,18,19.3
90,10,16.05
90,16,20.4
90,15,16.4
90,11,16.2
90,13,16.95
90,12,17.6
90,11,17.5
100,21,21.45
100,20,21.6
100,15,20.75
100,18,20.6
100,17,20.15
100,23,19.35
100,23,18.1
100,16,17.85
100,20,20
100,27,20.75
